EXP044698	None	Homo sapiens	430	HepG2 (hepatoblastoma)	READS055974; READS055975; READS055976; READS055977	ALIGNS049780	PEAKS044685	GSE105576	ENCSR356ECR	EXP044671	430	HepG2 (hepatoblastoma)	READS055908; READS055909	ALIGNS049753	GSE106027	ENCSR867VPL
EXP034307	None	Homo sapiens	407	HBL1 (diffuse large B-cell lymphoma)	READS036630	ALIGNS039183	PEAKS037636	GSE63257	None	EXP034300	407	HBL1 (diffuse large B-cell lymphoma)	READS036623	ALIGNS039176	GSE63257	None
EXP034306	None	Homo sapiens	92	BJAB (Burkitt lymphoma)	READS036629	ALIGNS039182	PEAKS037635	GSE63257	None	EXP034299	92	BJAB (Burkitt lymphoma)	READS036622	ALIGNS039175	GSE63257	None
EXP034295	GCR_HUMAN	Homo sapiens	617	MM1.RL (plasma cell myeloma)	READS036615	ALIGNS039171	PEAKS037631	GSE63209	None	EXP034287	617	MM1.RL (plasma cell myeloma)	READS036607	ALIGNS039163	GSE63209	None
EXP034294	GCR_HUMAN	Homo sapiens	617	MM1.RL (plasma cell myeloma)	READS036614	ALIGNS039170	PEAKS037630	GSE63209	None	EXP034286	617	MM1.RL (plasma cell myeloma)	READS036606	ALIGNS039162	GSE63209	None
EXP034293	GCR_HUMAN	Homo sapiens	618	MM1.S (plasma cell myeloma)	READS036613	ALIGNS039169	PEAKS037629	GSE63209	None	EXP034285	618	MM1.S (plasma cell myeloma)	READS036605	ALIGNS039161	GSE63209	None
EXP034292	GCR_HUMAN	Homo sapiens	618	MM1.S (plasma cell myeloma)	READS036612	ALIGNS039168	PEAKS037628	GSE63209	None	EXP034284	618	MM1.S (plasma cell myeloma)	READS036604	ALIGNS039160	GSE63209	None
EXP034275	ANDR_HUMAN	Homo sapiens	70	LNCaP (prostate carcinoma)	READS036595	ALIGNS039151	PEAKS037619	GSE63202	None	EXP034274	70	LNCaP (prostate carcinoma)	READS036592; READS036593; READS036594	ALIGNS039150	GSE63202	None
EXP034273	JUNB_HUMAN	Homo sapiens	468	neonatal keratinocytes	READS036591	ALIGNS039149	PEAKS037618	GSE63080	None	EXP034272	468	neonatal keratinocytes	READS036590	ALIGNS039148	GSE63080	None
EXP034262	SOX2_HUMAN	Homo sapiens	244	NT2-D1 (embryonic carcinoma)	READS036573	ALIGNS039138	PEAKS037608	GSE62983	None	EXP034258	244	NT2-D1 (embryonic carcinoma)	READS036572	ALIGNS039134	GSE62983	None
EXP034263	None	Homo sapiens	244	NT2-D1 (embryonic carcinoma)	READS036574	ALIGNS039139	PEAKS037609	GSE62983	None	EXP034258	244	NT2-D1 (embryonic carcinoma)	READS036572	ALIGNS039134	GSE62983	None
EXP034264	PO5F1_HUMAN	Homo sapiens	244	NT2-D1 (embryonic carcinoma)	READS036575	ALIGNS039140	PEAKS037610	GSE62983	None	EXP034258	244	NT2-D1 (embryonic carcinoma)	READS036572	ALIGNS039134	GSE62983	None
EXP034256	SOX15_HUMAN	Homo sapiens	77	CP-A(Barrett esophagus epithelium)	READS036570	ALIGNS039132	PEAKS037604	GSE62909	None	EXP034255	77	CP-A(Barrett esophagus epithelium)	READS036569	ALIGNS039131	GSE62909	None
EXP034250	HNF4A_HUMAN	Homo sapiens	417	HCT-116 (colon carcinoma)	READS036550; READS036551; READS036552	ALIGNS039126	PEAKS037599	GSE62890	None	EXP034248	417	HCT-116 (colon carcinoma)	READS036545	ALIGNS039124	GSE62890	None
EXP034254	None	Homo sapiens	417	HCT-116 (colon carcinoma)	READS036565; READS036566; READS036567; READS036568	ALIGNS039130	PEAKS037603	GSE62890	None	EXP034248	417	HCT-116 (colon carcinoma)	READS036545	ALIGNS039124	GSE62890	None
EXP034249	HNF4A_HUMAN	Homo sapiens	417	HCT-116 (colon carcinoma)	READS036546; READS036547; READS036548; READS036549	ALIGNS039125	PEAKS037598	GSE62890	None	EXP034247	417	HCT-116 (colon carcinoma)	READS036544	ALIGNS039123	GSE62890	None
EXP034252	None	Homo sapiens	417	HCT-116 (colon carcinoma)	READS036557; READS036558; READS036559; READS036560	ALIGNS039128	PEAKS037601	GSE62890	None	EXP034247	417	HCT-116 (colon carcinoma)	READS036544	ALIGNS039123	GSE62890	None
EXP034245	RUNX1_HUMAN	Homo sapiens	516	Kasumi-1 (childhood acute myeloid leukemia with maturation)	READS036540; READS036541	ALIGNS039121	PEAKS037596	GSE62847	None	EXP034244	516	Kasumi-1 (childhood acute myeloid leukemia with maturation)	READS036538; READS036539	ALIGNS039120	GSE62847	None
EXP034246	NCOR1_HUMAN	Homo sapiens	516	Kasumi-1 (childhood acute myeloid leukemia with maturation)	READS036542; READS036543	ALIGNS039122	PEAKS037597	GSE62847	None	EXP034244	516	Kasumi-1 (childhood acute myeloid leukemia with maturation)	READS036538; READS036539	ALIGNS039120	GSE62847	None
EXP034208	None	Homo sapiens	692	OF4155 (neural progenitors)	READS036500	ALIGNS039084	PEAKS037573	GSE62718	None	EXP034207	692	OF4155 (neural progenitors)	READS036499	ALIGNS039083	GSE62718	None
EXP034188	None	Homo sapiens	10	HEK293T (embryonic kidney)	READS036480	ALIGNS039064	PEAKS037556	GSE62616	None	EXP034187	10	HEK293T (embryonic kidney)	READS036479	ALIGNS039063	GSE62616	None
EXP034189	WIZ_HUMAN	Homo sapiens	10	HEK293T (embryonic kidney)	READS036481	ALIGNS039065	PEAKS037557	GSE62616	None	EXP034187	10	HEK293T (embryonic kidney)	READS036479	ALIGNS039063	GSE62616	None
EXP034171	ANDR_HUMAN	Homo sapiens	70	LNCaP (prostate carcinoma)	READS036459	ALIGNS039047	PEAKS037543	GSE62492	None	EXP034168	70	LNCaP (prostate carcinoma)	READS036455; READS036456	ALIGNS039044	GSE62492	None
EXP034172	ANDR_HUMAN	Homo sapiens	70	LNCaP (prostate carcinoma)	READS036460	ALIGNS039048	PEAKS037544	GSE62492	None	EXP034168	70	LNCaP (prostate carcinoma)	READS036455; READS036456	ALIGNS039044	GSE62492	None
EXP034174	None	Homo sapiens	70	LNCaP (prostate carcinoma)	READS036462	ALIGNS039050	PEAKS037546	GSE62492	None	EXP034168	70	LNCaP (prostate carcinoma)	READS036455; READS036456	ALIGNS039044	GSE62492	None
EXP034176	RUNX1_HUMAN	Homo sapiens	70	LNCaP (prostate carcinoma)	READS036464	ALIGNS039052	PEAKS037548	GSE62492	None	EXP034168	70	LNCaP (prostate carcinoma)	READS036455; READS036456	ALIGNS039044	GSE62492	None
EXP034177	ANDR_HUMAN	Homo sapiens	70	LNCaP (prostate carcinoma)	READS036465	ALIGNS039053	PEAKS037549	GSE62492	None	EXP034168	70	LNCaP (prostate carcinoma)	READS036455; READS036456	ALIGNS039044	GSE62492	None
EXP034178	ANDR_HUMAN	Homo sapiens	70	LNCaP (prostate carcinoma)	READS036466	ALIGNS039054	PEAKS037550	GSE62492	None	EXP034168	70	LNCaP (prostate carcinoma)	READS036455; READS036456	ALIGNS039044	GSE62492	None
EXP034166	TF65_HUMAN	Homo sapiens	886	Th1-cells	READS036453	ALIGNS039042	PEAKS037539	GSE62482	None	EXP034158	886	Th1-cells	READS036445	ALIGNS039034	GSE62482	None
EXP034159	None	Homo sapiens	886	Th1-cells	READS036446	ALIGNS039035	PEAKS037532	GSE62482	None	EXP034153	886	Th1-cells	READS036440	ALIGNS039029	GSE62482	None
EXP034151	PRGR_HUMAN	Homo sapiens	256	endometrial stromal cells	READS036438	ALIGNS039027	PEAKS037530	GSE62475	None	EXP034150	256	endometrial stromal cells	READS036437	ALIGNS039026	GSE62475	None
EXP034152	PRGR_HUMAN	Homo sapiens	256	endometrial stromal cells	READS036439	ALIGNS039028	PEAKS037531	GSE62475	None	EXP034150	256	endometrial stromal cells	READS036437	ALIGNS039026	GSE62475	None
EXP034146	ANDR_HUMAN	Homo sapiens	200	CWR22 (prostate carcinoma)	READS036433	ALIGNS039022	PEAKS037526	GSE62442	None	EXP034137	200	CWR22 (prostate carcinoma)	READS036424	ALIGNS039013	GSE62442	None
EXP034147	ANDR_HUMAN	Homo sapiens	200	CWR22 (prostate carcinoma)	READS036434	ALIGNS039023	PEAKS037527	GSE62442	None	EXP034137	200	CWR22 (prostate carcinoma)	READS036424	ALIGNS039013	GSE62442	None
EXP034148	ANDR_HUMAN	Homo sapiens	200	CWR22 (prostate carcinoma)	READS036435	ALIGNS039024	PEAKS037528	GSE62442	None	EXP034137	200	CWR22 (prostate carcinoma)	READS036424	ALIGNS039013	GSE62442	None
EXP034149	ANDR_HUMAN	Homo sapiens	200	CWR22 (prostate carcinoma)	READS036436	ALIGNS039025	PEAKS037529	GSE62442	None	EXP034137	200	CWR22 (prostate carcinoma)	READS036424	ALIGNS039013	GSE62442	None
EXP034142	ANDR_HUMAN	Homo sapiens	71	VCaP (prostate carcinoma)	READS036429	ALIGNS039018	PEAKS037522	GSE62442	None	EXP034136	71	VCaP (prostate carcinoma)	READS036423	ALIGNS039012	GSE62442	None
EXP034143	ANDR_HUMAN	Homo sapiens	71	VCaP (prostate carcinoma)	READS036430	ALIGNS039019	PEAKS037523	GSE62442	None	EXP034136	71	VCaP (prostate carcinoma)	READS036423	ALIGNS039012	GSE62442	None
EXP034144	ANDR_HUMAN	Homo sapiens	71	VCaP (prostate carcinoma)	READS036431	ALIGNS039020	PEAKS037524	GSE62442	None	EXP034136	71	VCaP (prostate carcinoma)	READS036423	ALIGNS039012	GSE62442	None
EXP034145	ANDR_HUMAN	Homo sapiens	71	VCaP (prostate carcinoma)	READS036432	ALIGNS039021	PEAKS037525	GSE62442	None	EXP034136	71	VCaP (prostate carcinoma)	READS036423	ALIGNS039012	GSE62442	None
EXP034138	ANDR_HUMAN	Homo sapiens	70	LNCaP (prostate carcinoma)	READS036425	ALIGNS039014	PEAKS037518	GSE62442	None	EXP034135	70	LNCaP (prostate carcinoma)	READS036422	ALIGNS039011	GSE62442	None
EXP034139	ANDR_HUMAN	Homo sapiens	70	LNCaP (prostate carcinoma)	READS036426	ALIGNS039015	PEAKS037519	GSE62442	None	EXP034135	70	LNCaP (prostate carcinoma)	READS036422	ALIGNS039011	GSE62442	None
EXP034140	ANDR_HUMAN	Homo sapiens	70	LNCaP (prostate carcinoma)	READS036427	ALIGNS039016	PEAKS037520	GSE62442	None	EXP034135	70	LNCaP (prostate carcinoma)	READS036422	ALIGNS039011	GSE62442	None
EXP034141	ANDR_HUMAN	Homo sapiens	70	LNCaP (prostate carcinoma)	READS036428	ALIGNS039017	PEAKS037521	GSE62442	None	EXP034135	70	LNCaP (prostate carcinoma)	READS036422	ALIGNS039011	GSE62442	None
EXP034132	FOXM1_HUMAN	Homo sapiens	440	mammary epithelial cells	READS036419	ALIGNS039008	PEAKS037515	GSE62425	None	EXP034131	440	mammary epithelial cells	READS036418	ALIGNS039007	GSE62425	None
EXP034133	MYBB_HUMAN	Homo sapiens	440	mammary epithelial cells	READS036420	ALIGNS039009	PEAKS037516	GSE62425	None	EXP034131	440	mammary epithelial cells	READS036418	ALIGNS039007	GSE62425	None
EXP034134	E2F1_HUMAN	Homo sapiens	440	mammary epithelial cells	READS036421	ALIGNS039010	PEAKS037517	GSE62425	None	EXP034131	440	mammary epithelial cells	READS036418	ALIGNS039007	GSE62425	None
EXP034130	TEAD1_HUMAN	Homo sapiens	152	CC-LP-1 (intrahepatic cholangiocarcinoma)	READS036417	ALIGNS039006	PEAKS037514	GSE62272	None	EXP034128	152	CC-LP-1 (intrahepatic cholangiocarcinoma)	READS036415	ALIGNS039004	GSE62272	None
EXP034124	TLX1_HUMAN	Homo sapiens	61	ALL-SIL (acute lymphoblastic leukemia)	READS036411	ALIGNS039000	PEAKS037511	GSE62264	None	EXP034123	61	ALL-SIL (acute lymphoblastic leukemia)	READS036410	ALIGNS038999	GSE62264	None
EXP034119	ESR1_HUMAN	Homo sapiens	113	MCF7 (Invasive ductal breast carcinoma)	READS036405	ALIGNS038995	PEAKS037507	GSE62222	None	EXP034117	113	MCF7 (Invasive ductal breast carcinoma)	READS036403	ALIGNS038993	GSE62222	None
EXP034118	ESR1_HUMAN	Homo sapiens	113	MCF7 (Invasive ductal breast carcinoma)	READS036404	ALIGNS038994	PEAKS037506	GSE62222	None	EXP034116	113	MCF7 (Invasive ductal breast carcinoma)	READS036402	ALIGNS038992	GSE62222	None
EXP034115	KLF9_HUMAN	Homo sapiens	325	HSR-GBM1B (glioblastoma)	READS036401	ALIGNS038991	PEAKS037505	GSE62211	None	EXP034113	325	HSR-GBM1B (glioblastoma)	READS036399	ALIGNS038989	GSE62211	None
EXP034114	KLF9_HUMAN	Homo sapiens	324	HSR-GBM1A (glioblastoma)	READS036400	ALIGNS038990	PEAKS037504	GSE62211	None	EXP034112	324	HSR-GBM1A (glioblastoma)	READS036398	ALIGNS038988	GSE62211	None
EXP034111	OTX2_HUMAN	Homo sapiens	281	embryonic stem cell- derived mid radial glial neural progenitors	READS036397	ALIGNS038987	PEAKS037503	GSE62193	None	EXP034109	281	embryonic stem cell- derived mid radial glial neural progenitors	READS036394; READS036395	ALIGNS038985	GSE62193	None
EXP034110	OTX2_HUMAN	Homo sapiens	896	embryonic stem cell-derived neural progenitors	READS036396	ALIGNS038986	PEAKS037502	GSE62193	None	EXP034108	896	embryonic stem cell-derived neural progenitors	READS036392; READS036393	ALIGNS038984	GSE62193	None
EXP034107	SOX10_HUMAN	Homo sapiens	26	501Mel (melanoma)	READS036391	ALIGNS038983	PEAKS037501	GSE61965	None	EXP034105	26	501Mel (melanoma)	READS036389	ALIGNS038981	GSE61965	None
EXP034106	MITF_HUMAN	Homo sapiens	27	501Mel-Cl8 (melanoma)	READS036390	ALIGNS038982	PEAKS037500	GSE61965	None	EXP034104	27	501Mel-Cl8 (melanoma)	READS036388	ALIGNS038980	GSE61965	None
EXP034103	SOX9_HUMAN	Homo sapiens	201	CyT49 (embryonic stem cells)	READS036387	ALIGNS038979	PEAKS037499	GSE61947	None	EXP034102	201	CyT49 (embryonic stem cells)	READS036386	ALIGNS038978	GSE61947	None
EXP034099	FLI1_HUMAN	Homo sapiens	288	A673 (Ewing sarcoma)	READS036383	ALIGNS038975	PEAKS037496	GSE61944	None	EXP034089	288	A673 (Ewing sarcoma)	READS036373	ALIGNS038965	GSE61944	None
EXP034100	FLI1_HUMAN	Homo sapiens	288	A673 (Ewing sarcoma)	READS036384	ALIGNS038976	PEAKS037497	GSE61944	None	EXP034089	288	A673 (Ewing sarcoma)	READS036373	ALIGNS038965	GSE61944	None
EXP034101	FLI1_HUMAN	Homo sapiens	288	A673 (Ewing sarcoma)	READS036385	ALIGNS038977	PEAKS037498	GSE61944	None	EXP034089	288	A673 (Ewing sarcoma)	READS036373	ALIGNS038965	GSE61944	None
EXP034090	FLI1_HUMAN	Homo sapiens	289	SK-N-MC (Askin tumor)	READS036374	ALIGNS038966	PEAKS037487	GSE61944	None	EXP034088	289	SK-N-MC (Askin tumor)	READS036372	ALIGNS038964	GSE61944	None
EXP034091	FLI1_HUMAN	Homo sapiens	289	SK-N-MC (Askin tumor)	READS036375	ALIGNS038967	PEAKS037488	GSE61944	None	EXP034088	289	SK-N-MC (Askin tumor)	READS036372	ALIGNS038964	GSE61944	None
EXP034092	FLI1_HUMAN	Homo sapiens	289	SK-N-MC (Askin tumor)	READS036376	ALIGNS038968	PEAKS037489	GSE61944	None	EXP034088	289	SK-N-MC (Askin tumor)	READS036372	ALIGNS038964	GSE61944	None
EXP034093	GABPA_HUMAN	Homo sapiens	289	SK-N-MC (Askin tumor)	READS036377	ALIGNS038969	PEAKS037490	GSE61944	None	EXP034088	289	SK-N-MC (Askin tumor)	READS036372	ALIGNS038964	GSE61944	None
EXP034094	ELF1_HUMAN	Homo sapiens	289	SK-N-MC (Askin tumor)	READS036378	ALIGNS038970	PEAKS037491	GSE61944	None	EXP034088	289	SK-N-MC (Askin tumor)	READS036372	ALIGNS038964	GSE61944	None
EXP034095	FLI1_HUMAN	Homo sapiens	289	SK-N-MC (Askin tumor)	READS036379	ALIGNS038971	PEAKS037492	GSE61944	None	EXP034088	289	SK-N-MC (Askin tumor)	READS036372	ALIGNS038964	GSE61944	None
EXP034096	FLI1_HUMAN	Homo sapiens	289	SK-N-MC (Askin tumor)	READS036380	ALIGNS038972	PEAKS037493	GSE61944	None	EXP034088	289	SK-N-MC (Askin tumor)	READS036372	ALIGNS038964	GSE61944	None
EXP034097	GABPA_HUMAN	Homo sapiens	289	SK-N-MC (Askin tumor)	READS036381	ALIGNS038973	PEAKS037494	GSE61944	None	EXP034088	289	SK-N-MC (Askin tumor)	READS036372	ALIGNS038964	GSE61944	None
EXP034098	ELF1_HUMAN	Homo sapiens	289	SK-N-MC (Askin tumor)	READS036382	ALIGNS038974	PEAKS037495	GSE61944	None	EXP034088	289	SK-N-MC (Askin tumor)	READS036372	ALIGNS038964	GSE61944	None
EXP034069	GCR_HUMAN	Homo sapiens	466	monocyte-derived macrophages	READS036343	ALIGNS038945	PEAKS037472	GSE61878	None	EXP034068	466	monocyte-derived macrophages	READS036342	ALIGNS038944	GSE61878	None
EXP034063	TEAD1_HUMAN	Homo sapiens	788	SF268 (astrocytoma )	READS036332; READS036333	ALIGNS038939	PEAKS037469	GSE61852	None	EXP034062	788	SF268 (astrocytoma )	READS036330; READS036331	ALIGNS038938	GSE61852	None
EXP034061	ANDR_HUMAN	Homo sapiens	762	R1-D567 (prostate cancer)	READS036324; READS036325; READS036326; READS036327; READS036328; READS036329	ALIGNS038937	PEAKS037468	GSE61838	None	EXP034058	762	R1-D567 (prostate cancer)	READS036310; READS036311	ALIGNS038934	GSE61838	None
EXP034059	ANDR_HUMAN	Homo sapiens	761	R1-AD1 (prostate cancer)	READS036312; READS036313; READS036314; READS036315; READS036316; READS036317	ALIGNS038935	PEAKS037466	GSE61838	None	EXP034057	761	R1-AD1 (prostate cancer)	READS036308; READS036309	ALIGNS038933	GSE61838	None
EXP034060	ANDR_HUMAN	Homo sapiens	761	R1-AD1 (prostate cancer)	READS036318; READS036319; READS036320; READS036321; READS036322; READS036323	ALIGNS038936	PEAKS037467	GSE61838	None	EXP034057	761	R1-AD1 (prostate cancer)	READS036308; READS036309	ALIGNS038933	GSE61838	None
EXP034015	JUN_HUMAN	Homo sapiens	192	coronary artery smooth muscle	READS036256	ALIGNS038891	PEAKS037438	GSE61369	None	EXP034014	192	coronary artery smooth muscle	READS036254; READS036255	ALIGNS038890	GSE61369	None
EXP034016	JUND_HUMAN	Homo sapiens	192	coronary artery smooth muscle	READS036257	ALIGNS038892	PEAKS037439	GSE61369	None	EXP034014	192	coronary artery smooth muscle	READS036254; READS036255	ALIGNS038890	GSE61369	None
EXP034017	TCF21_HUMAN	Homo sapiens	192	coronary artery smooth muscle	READS036258; READS036259	ALIGNS038893	PEAKS037440	GSE61369	None	EXP034014	192	coronary artery smooth muscle	READS036254; READS036255	ALIGNS038890	GSE61369	None
EXP034018	TCF21_HUMAN	Homo sapiens	192	coronary artery smooth muscle	READS036260; READS036261	ALIGNS038894	PEAKS037441	GSE61369	None	EXP034014	192	coronary artery smooth muscle	READS036254; READS036255	ALIGNS038890	GSE61369	None
EXP033967	HSF1_HUMAN	Homo sapiens	74	U2OS (osteosarcoma)	READS036192	ALIGNS038843	PEAKS037405	GSE60984	None	EXP033966	74	U2OS (osteosarcoma)	READS036191	ALIGNS038842	GSE60984	None
EXP033968	HSF1_HUMAN	Homo sapiens	74	U2OS (osteosarcoma)	READS036193	ALIGNS038844	PEAKS037406	GSE60984	None	EXP033966	74	U2OS (osteosarcoma)	READS036191	ALIGNS038842	GSE60984	None
EXP033963	ESR1_HUMAN	Homo sapiens	113	MCF7 (Invasive ductal breast carcinoma)	READS036185; READS036186	ALIGNS038839	PEAKS037402	GSE59530	None	EXP033949	113	MCF7 (Invasive ductal breast carcinoma)	READS036157; READS036158	ALIGNS038825	GSE59530	None
EXP033962	ESR1_HUMAN	Homo sapiens	113	MCF7 (Invasive ductal breast carcinoma)	READS036183; READS036184	ALIGNS038838	PEAKS037401	GSE59530	None	EXP033948	113	MCF7 (Invasive ductal breast carcinoma)	READS036155; READS036156	ALIGNS038824	GSE59530	None
EXP033953	ESR1_HUMAN	Homo sapiens	113	MCF7 (Invasive ductal breast carcinoma)	READS036165; READS036166	ALIGNS038829	PEAKS037392	GSE59530	None	EXP033947	113	MCF7 (Invasive ductal breast carcinoma)	READS036153; READS036154	ALIGNS038823	GSE59530	None
EXP033957	TF65_HUMAN	Homo sapiens	113	MCF7 (Invasive ductal breast carcinoma)	READS036173; READS036174	ALIGNS038833	PEAKS037396	GSE59530	None	EXP033947	113	MCF7 (Invasive ductal breast carcinoma)	READS036153; READS036154	ALIGNS038823	GSE59530	None
EXP033961	FOXA1_HUMAN	Homo sapiens	113	MCF7 (Invasive ductal breast carcinoma)	READS036181; READS036182	ALIGNS038837	PEAKS037400	GSE59530	None	EXP033947	113	MCF7 (Invasive ductal breast carcinoma)	READS036153; READS036154	ALIGNS038823	GSE59530	None
EXP033952	ESR1_HUMAN	Homo sapiens	113	MCF7 (Invasive ductal breast carcinoma)	READS036163; READS036164	ALIGNS038828	PEAKS037391	GSE59530	None	EXP033946	113	MCF7 (Invasive ductal breast carcinoma)	READS036151; READS036152	ALIGNS038822	GSE59530	None
EXP033956	TF65_HUMAN	Homo sapiens	113	MCF7 (Invasive ductal breast carcinoma)	READS036171; READS036172	ALIGNS038832	PEAKS037395	GSE59530	None	EXP033946	113	MCF7 (Invasive ductal breast carcinoma)	READS036151; READS036152	ALIGNS038822	GSE59530	None
EXP033960	FOXA1_HUMAN	Homo sapiens	113	MCF7 (Invasive ductal breast carcinoma)	READS036179; READS036180	ALIGNS038836	PEAKS037399	GSE59530	None	EXP033946	113	MCF7 (Invasive ductal breast carcinoma)	READS036151; READS036152	ALIGNS038822	GSE59530	None
EXP033951	ESR1_HUMAN	Homo sapiens	113	MCF7 (Invasive ductal breast carcinoma)	READS036161; READS036162	ALIGNS038827	PEAKS037390	GSE59530	None	EXP033945	113	MCF7 (Invasive ductal breast carcinoma)	READS036149; READS036150	ALIGNS038821	GSE59530	None
EXP033955	TF65_HUMAN	Homo sapiens	113	MCF7 (Invasive ductal breast carcinoma)	READS036169; READS036170	ALIGNS038831	PEAKS037394	GSE59530	None	EXP033945	113	MCF7 (Invasive ductal breast carcinoma)	READS036149; READS036150	ALIGNS038821	GSE59530	None
EXP033959	FOXA1_HUMAN	Homo sapiens	113	MCF7 (Invasive ductal breast carcinoma)	READS036177; READS036178	ALIGNS038835	PEAKS037398	GSE59530	None	EXP033945	113	MCF7 (Invasive ductal breast carcinoma)	READS036149; READS036150	ALIGNS038821	GSE59530	None
EXP033950	ESR1_HUMAN	Homo sapiens	113	MCF7 (Invasive ductal breast carcinoma)	READS036159; READS036160	ALIGNS038826	PEAKS037389	GSE59530	None	EXP033944	113	MCF7 (Invasive ductal breast carcinoma)	READS036147; READS036148	ALIGNS038820	GSE59530	None
EXP033954	TF65_HUMAN	Homo sapiens	113	MCF7 (Invasive ductal breast carcinoma)	READS036167; READS036168	ALIGNS038830	PEAKS037393	GSE59530	None	EXP033944	113	MCF7 (Invasive ductal breast carcinoma)	READS036147; READS036148	ALIGNS038820	GSE59530	None
EXP033958	FOXA1_HUMAN	Homo sapiens	113	MCF7 (Invasive ductal breast carcinoma)	READS036175; READS036176	ALIGNS038834	PEAKS037397	GSE59530	None	EXP033944	113	MCF7 (Invasive ductal breast carcinoma)	READS036147; READS036148	ALIGNS038820	GSE59530	None
EXP033936	None	Homo sapiens	465	HaCaT (keratinocytes)	READS036139	ALIGNS038812	PEAKS037382	GSE60812	None	EXP033935	465	HaCaT (keratinocytes)	READS036138	ALIGNS038811	GSE60812	None
EXP033937	None	Homo sapiens	465	HaCaT (keratinocytes)	READS036140	ALIGNS038813	PEAKS037383	GSE60812	None	EXP033935	465	HaCaT (keratinocytes)	READS036138	ALIGNS038811	GSE60812	None
EXP033938	None	Homo sapiens	465	HaCaT (keratinocytes)	READS036141	ALIGNS038814	PEAKS037384	GSE60812	None	EXP033935	465	HaCaT (keratinocytes)	READS036138	ALIGNS038811	GSE60812	None
EXP033939	None	Homo sapiens	465	HaCaT (keratinocytes)	READS036142	ALIGNS038815	PEAKS037385	GSE60812	None	EXP033935	465	HaCaT (keratinocytes)	READS036138	ALIGNS038811	GSE60812	None
EXP033933	GATA2_HUMAN	Homo sapiens	269	CD34+ bone marrow cell-derived erythroid progenitors	READS036136	ALIGNS038809	PEAKS037380	GSE60792	None	EXP033932	269	CD34+ bone marrow cell-derived erythroid progenitors	READS036135	ALIGNS038808	GSE60792	None
EXP033934	GATA2_HUMAN	Homo sapiens	269	CD34+ bone marrow cell-derived erythroid progenitors	READS036137	ALIGNS038810	PEAKS037381	GSE60792	None	EXP033932	269	CD34+ bone marrow cell-derived erythroid progenitors	READS036135	ALIGNS038808	GSE60792	None
EXP033913	BRAC_HUMAN	Homo sapiens	398	H9-derived mesodermal progenitors	READS036114	ALIGNS038789	PEAKS037363	GSE60606	None	EXP033911	398	H9-derived mesodermal progenitors	READS036112	ALIGNS038787	GSE60606	None
EXP033915	BRAC_HUMAN	Homo sapiens	398	H9-derived mesodermal progenitors	READS036116	ALIGNS038791	PEAKS037365	GSE60606	None	EXP033911	398	H9-derived mesodermal progenitors	READS036112	ALIGNS038787	GSE60606	None
EXP033912	BRAC_HUMAN	Homo sapiens	397	H9-derived endodermal progenitors	READS036113	ALIGNS038788	PEAKS037362	GSE60606	None	EXP033910	397	H9-derived endodermal progenitors	READS036111	ALIGNS038786	GSE60606	None
EXP033914	BRAC_HUMAN	Homo sapiens	397	H9-derived endodermal progenitors	READS036115	ALIGNS038790	PEAKS037364	GSE60606	None	EXP033910	397	H9-derived endodermal progenitors	READS036111	ALIGNS038786	GSE60606	None
EXP033883	PROX1_HUMAN	Homo sapiens	821	SW480 (colon adenocarcinoma)	READS036078	ALIGNS038759	PEAKS037339	GSE60390	None	EXP033882	821	SW480 (colon adenocarcinoma)	READS036077	ALIGNS038758	GSE60390	None
EXP033873	ESR1_HUMAN	Homo sapiens	113	MCF7 (Invasive ductal breast carcinoma)	READS036068	ALIGNS038749	PEAKS037330	GSE60270	None	EXP033855	113	MCF7 (Invasive ductal breast carcinoma)	READS036050	ALIGNS038731	GSE60270	None
EXP033872	ESR1_HUMAN	Homo sapiens	113	MCF7 (Invasive ductal breast carcinoma)	READS036067	ALIGNS038748	PEAKS037329	GSE60270	None	EXP033854	113	MCF7 (Invasive ductal breast carcinoma)	READS036049	ALIGNS038730	GSE60270	None
EXP033871	AP2C_HUMAN	Homo sapiens	113	MCF7 (Invasive ductal breast carcinoma)	READS036066	ALIGNS038747	PEAKS037328	GSE60270	None	EXP033853	113	MCF7 (Invasive ductal breast carcinoma)	READS036048	ALIGNS038729	GSE60270	None
EXP033867	GATA3_HUMAN	Homo sapiens	113	MCF7 (Invasive ductal breast carcinoma)	READS036062	ALIGNS038743	PEAKS037324	GSE60270	None	EXP033852	113	MCF7 (Invasive ductal breast carcinoma)	READS036047	ALIGNS038728	GSE60270	None
EXP033866	RARG_HUMAN	Homo sapiens	113	MCF7 (Invasive ductal breast carcinoma)	READS036061	ALIGNS038742	PEAKS037323	GSE60270	None	EXP033851	113	MCF7 (Invasive ductal breast carcinoma)	READS036046	ALIGNS038727	GSE60270	None
EXP033865	RARG_HUMAN	Homo sapiens	113	MCF7 (Invasive ductal breast carcinoma)	READS036060	ALIGNS038741	PEAKS037322	GSE60270	None	EXP033850	113	MCF7 (Invasive ductal breast carcinoma)	READS036045	ALIGNS038726	GSE60270	None
